filename	event_labels
URBAN-SED/audio/validate/soundscape_validate_uniform573.wav	dog_bark
URBAN-SED/audio/validate/soundscape_validate_unimodal229.wav	dog_bark,children_playing,engine_idling
URBAN-SED/audio/validate/soundscape_validate_bimodal347.wav	air_conditioner,gun_shot,street_music,dog_bark
URBAN-SED/audio/validate/soundscape_validate_bimodal147.wav	street_music,gun_shot,gun_shot,drilling,car_horn,car_horn
URBAN-SED/audio/validate/soundscape_validate_unimodal343.wav	street_music
URBAN-SED/audio/validate/soundscape_validate_bimodal228.wav	air_conditioner,children_playing,air_conditioner,drilling,jackhammer,siren,jackhammer,car_horn
URBAN-SED/audio/validate/soundscape_validate_uniform135.wav	gun_shot,jackhammer,street_music,street_music,gun_shot,siren
URBAN-SED/audio/validate/soundscape_validate_bimodal378.wav	siren,street_music
URBAN-SED/audio/validate/soundscape_validate_unimodal68.wav	engine_idling,dog_bark,dog_bark
URBAN-SED/audio/validate/soundscape_validate_uniform375.wav	engine_idling,car_horn,gun_shot,drilling,gun_shot,jackhammer,car_horn,drilling,jackhammer
URBAN-SED/audio/validate/soundscape_validate_uniform63.wav	engine_idling,gun_shot,air_conditioner,siren,air_conditioner,drilling
URBAN-SED/audio/validate/soundscape_validate_uniform578.wav	engine_idling,street_music,air_conditioner,siren
URBAN-SED/audio/validate/soundscape_validate_unimodal630.wav	children_playing,engine_idling,air_conditioner,street_music,engine_idling,drilling,air_conditioner,drilling,drilling
URBAN-SED/audio/validate/soundscape_validate_unimodal329.wav	air_conditioner,children_playing
URBAN-SED/audio/validate/soundscape_validate_unimodal517.wav	car_horn,jackhammer
URBAN-SED/audio/validate/soundscape_validate_uniform189.wav	air_conditioner,jackhammer,street_music,street_music,engine_idling,jackhammer,drilling
URBAN-SED/audio/validate/soundscape_validate_uniform473.wav	drilling,jackhammer,air_conditioner,gun_shot,engine_idling,dog_bark,jackhammer,dog_bark
URBAN-SED/audio/validate/soundscape_validate_uniform506.wav	jackhammer,children_playing,engine_idling,drilling,jackhammer,car_horn
URBAN-SED/audio/validate/soundscape_validate_unimodal374.wav	street_music,street_music,car_horn,dog_bark,gun_shot,gun_shot,gun_shot,drilling,gun_shot
URBAN-SED/audio/validate/soundscape_validate_unimodal615.wav	street_music,jackhammer,children_playing,car_horn,dog_bark,jackhammer,engine_idling
URBAN-SED/audio/validate/soundscape_validate_uniform194.wav	drilling,car_horn,gun_shot,engine_idling,jackhammer,street_music,street_music
URBAN-SED/audio/validate/soundscape_validate_unimodal241.wav	street_music,siren
URBAN-SED/audio/validate/soundscape_validate_bimodal79.wav	children_playing,jackhammer,drilling,air_conditioner,drilling,gun_shot,jackhammer,siren,air_conditioner
URBAN-SED/audio/validate/soundscape_validate_uniform176.wav	engine_idling,gun_shot
URBAN-SED/audio/validate/soundscape_validate_unimodal124.wav	siren,drilling,dog_bark,children_playing,siren,children_playing,drilling,air_conditioner
URBAN-SED/audio/validate/soundscape_validate_uniform289.wav	engine_idling,street_music,air_conditioner,dog_bark,gun_shot
URBAN-SED/audio/validate/soundscape_validate_bimodal368.wav	car_horn,engine_idling,dog_bark,drilling,drilling,children_playing,drilling,engine_idling,gun_shot
URBAN-SED/audio/validate/soundscape_validate_uniform593.wav	gun_shot,gun_shot,siren,air_conditioner,car_horn,street_music,engine_idling
URBAN-SED/audio/validate/soundscape_validate_uniform54.wav	street_music,children_playing,street_music,gun_shot,jackhammer,jackhammer,gun_shot,jackhammer
URBAN-SED/audio/validate/soundscape_validate_bimodal458.wav	drilling,street_music,air_conditioner,siren
URBAN-SED/audio/validate/soundscape_validate_bimodal655.wav	gun_shot,siren,air_conditioner
URBAN-SED/audio/validate/soundscape_validate_uniform279.wav	children_playing,children_playing
URBAN-SED/audio/validate/soundscape_validate_bimodal331.wav	drilling,air_conditioner,air_conditioner
URBAN-SED/audio/validate/soundscape_validate_unimodal501.wav	drilling,dog_bark,siren,street_music
URBAN-SED/audio/validate/soundscape_validate_bimodal72.wav	engine_idling,car_horn,engine_idling
URBAN-SED/audio/validate/soundscape_validate_bimodal474.wav	jackhammer,children_playing,air_conditioner,air_conditioner,street_music,street_music,car_horn,jackhammer
URBAN-SED/audio/validate/soundscape_validate_bimodal489.wav	children_playing
URBAN-SED/audio/validate/soundscape_validate_uniform416.wav	dog_bark,children_playing,children_playing,jackhammer,gun_shot,engine_idling,gun_shot,children_playing,children_playing
URBAN-SED/audio/validate/soundscape_validate_bimodal45.wav	car_horn
