filename	event_labels
URBAN-SED/audio/train/soundscape_train_bimodal0.wav	jackhammer,dog_bark,drilling
URBAN-SED/audio/train/soundscape_train_bimodal1.wav	siren,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal10.wav	jackhammer,jackhammer,drilling,drilling,drilling,siren,gun_shot,air_conditioner,engine_idling
URBAN-SED/audio/train/soundscape_train_bimodal100.wav	street_music,siren,dog_bark,street_music,car_horn,air_conditioner
URBAN-SED/audio/train/soundscape_train_bimodal1000.wav	jackhammer,engine_idling
URBAN-SED/audio/train/soundscape_train_bimodal1001.wav	children_playing,siren,children_playing,jackhammer,jackhammer,jackhammer,car_horn,street_music,children_playing
URBAN-SED/audio/train/soundscape_train_bimodal1002.wav	air_conditioner,siren,car_horn,air_conditioner
URBAN-SED/audio/train/soundscape_train_bimodal1003.wav	drilling,car_horn,air_conditioner
URBAN-SED/audio/train/soundscape_train_bimodal1004.wav	street_music,siren,street_music,air_conditioner,street_music,street_music,car_horn
URBAN-SED/audio/train/soundscape_train_bimodal1005.wav	jackhammer,engine_idling,jackhammer,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1006.wav	jackhammer,engine_idling,air_conditioner,children_playing,siren,drilling,dog_bark,dog_bark,jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal1007.wav	drilling,jackhammer,air_conditioner,engine_idling,engine_idling,dog_bark,car_horn,children_playing,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal1008.wav	jackhammer,air_conditioner,dog_bark,drilling,air_conditioner,drilling,jackhammer,gun_shot,siren
URBAN-SED/audio/train/soundscape_train_bimodal1009.wav	jackhammer,drilling
URBAN-SED/audio/train/soundscape_train_bimodal101.wav	gun_shot,drilling,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal1010.wav	engine_idling,car_horn,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1011.wav	siren
URBAN-SED/audio/train/soundscape_train_bimodal1012.wav	gun_shot,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1013.wav	children_playing,street_music,gun_shot,dog_bark,jackhammer,car_horn,air_conditioner
URBAN-SED/audio/train/soundscape_train_bimodal1014.wav	drilling,car_horn,jackhammer,dog_bark,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1015.wav	children_playing,street_music,car_horn,drilling
URBAN-SED/audio/train/soundscape_train_bimodal1016.wav	dog_bark,air_conditioner,children_playing,street_music,engine_idling,jackhammer,siren
URBAN-SED/audio/train/soundscape_train_bimodal1017.wav	children_playing,street_music,gun_shot,street_music,dog_bark,drilling
URBAN-SED/audio/train/soundscape_train_bimodal1018.wav	gun_shot,street_music,car_horn,street_music
URBAN-SED/audio/train/soundscape_train_bimodal1019.wav	engine_idling,car_horn,children_playing
URBAN-SED/audio/train/soundscape_train_bimodal102.wav	air_conditioner,gun_shot,street_music,gun_shot,siren,jackhammer,jackhammer,siren,car_horn
URBAN-SED/audio/train/soundscape_train_bimodal1020.wav	dog_bark,jackhammer,drilling,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal1021.wav	dog_bark,street_music,street_music,drilling,siren,gun_shot,engine_idling
URBAN-SED/audio/train/soundscape_train_bimodal1022.wav	gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1023.wav	drilling,dog_bark,engine_idling,car_horn,jackhammer,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal1024.wav	siren,gun_shot,gun_shot,drilling,air_conditioner,gun_shot,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal1025.wav	children_playing,siren,dog_bark,children_playing,dog_bark,children_playing,street_music,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal1026.wav	engine_idling,gun_shot,street_music,siren,drilling,gun_shot,engine_idling
URBAN-SED/audio/train/soundscape_train_bimodal1027.wav	jackhammer,children_playing,drilling,gun_shot,drilling,children_playing,children_playing
URBAN-SED/audio/train/soundscape_train_bimodal1028.wav	dog_bark,engine_idling,gun_shot,engine_idling,engine_idling,jackhammer,dog_bark,drilling
URBAN-SED/audio/train/soundscape_train_bimodal1029.wav	street_music,street_music,dog_bark,jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal103.wav	air_conditioner
URBAN-SED/audio/train/soundscape_train_bimodal1030.wav	air_conditioner,dog_bark,dog_bark,jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal1031.wav	car_horn,street_music,siren,drilling,drilling,children_playing,dog_bark,drilling,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal1032.wav	children_playing,car_horn,drilling,car_horn,gun_shot,siren
URBAN-SED/audio/train/soundscape_train_bimodal1033.wav	gun_shot,engine_idling,car_horn,children_playing,street_music,children_playing
URBAN-SED/audio/train/soundscape_train_bimodal1034.wav	siren
URBAN-SED/audio/train/soundscape_train_bimodal1035.wav	jackhammer,engine_idling
URBAN-SED/audio/train/soundscape_train_bimodal1036.wav	dog_bark,siren,engine_idling,siren,siren
URBAN-SED/audio/train/soundscape_train_bimodal1037.wav	jackhammer,jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal1038.wav	children_playing,drilling,drilling,children_playing,drilling,drilling,dog_bark,jackhammer,jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal1039.wav	dog_bark,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal104.wav	children_playing,jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal1040.wav	children_playing,street_music,car_horn,car_horn,drilling,gun_shot,car_horn,children_playing,siren
URBAN-SED/audio/train/soundscape_train_bimodal1041.wav	engine_idling,car_horn,drilling,drilling
URBAN-SED/audio/train/soundscape_train_bimodal1042.wav	drilling,children_playing,street_music,car_horn,siren,street_music,air_conditioner,car_horn
URBAN-SED/audio/train/soundscape_train_bimodal1043.wav	street_music,children_playing,dog_bark,jackhammer,gun_shot,siren,jackhammer,gun_shot,street_music
URBAN-SED/audio/train/soundscape_train_bimodal1044.wav	car_horn,dog_bark,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1045.wav	jackhammer,air_conditioner,street_music
URBAN-SED/audio/train/soundscape_train_bimodal1046.wav	jackhammer,car_horn,gun_shot,car_horn
URBAN-SED/audio/train/soundscape_train_bimodal1047.wav	car_horn,siren,siren,drilling,air_conditioner,jackhammer,air_conditioner,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal1048.wav	street_music,drilling,gun_shot,car_horn,jackhammer,engine_idling
URBAN-SED/audio/train/soundscape_train_bimodal1049.wav	car_horn,gun_shot,dog_bark,jackhammer,children_playing,jackhammer,engine_idling,drilling
URBAN-SED/audio/train/soundscape_train_bimodal105.wav	engine_idling,air_conditioner,car_horn,siren,siren,siren,engine_idling,engine_idling,street_music
URBAN-SED/audio/train/soundscape_train_bimodal1050.wav	gun_shot,dog_bark,street_music
URBAN-SED/audio/train/soundscape_train_bimodal1051.wav	dog_bark,street_music
URBAN-SED/audio/train/soundscape_train_bimodal1052.wav	jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal1053.wav	street_music,street_music,children_playing,gun_shot,dog_bark,gun_shot,drilling
URBAN-SED/audio/train/soundscape_train_bimodal1054.wav	children_playing,air_conditioner,street_music,engine_idling,street_music,dog_bark,car_horn
URBAN-SED/audio/train/soundscape_train_bimodal1055.wav	gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1056.wav	jackhammer,gun_shot,car_horn,street_music,engine_idling
URBAN-SED/audio/train/soundscape_train_bimodal1057.wav	dog_bark,children_playing,car_horn,air_conditioner,drilling,jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal1058.wav	engine_idling,drilling
URBAN-SED/audio/train/soundscape_train_bimodal1059.wav	engine_idling,car_horn
URBAN-SED/audio/train/soundscape_train_bimodal106.wav	gun_shot,children_playing,siren
URBAN-SED/audio/train/soundscape_train_bimodal1060.wav	air_conditioner,jackhammer,siren,dog_bark,jackhammer,car_horn
URBAN-SED/audio/train/soundscape_train_bimodal1061.wav	jackhammer,dog_bark,engine_idling,jackhammer,children_playing,air_conditioner,dog_bark,jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal1062.wav	engine_idling,car_horn,engine_idling,jackhammer,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1063.wav	dog_bark,air_conditioner,jackhammer,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1064.wav	engine_idling,jackhammer,street_music,air_conditioner,engine_idling
URBAN-SED/audio/train/soundscape_train_bimodal1065.wav	drilling,gun_shot,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal1066.wav	gun_shot,children_playing,jackhammer,jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal1067.wav	street_music,siren,drilling,street_music,gun_shot,children_playing,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1068.wav	jackhammer,engine_idling,car_horn,siren,drilling,drilling,siren,gun_shot,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1069.wav	jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal107.wav	jackhammer,street_music,dog_bark,car_horn,car_horn
URBAN-SED/audio/train/soundscape_train_bimodal1070.wav	engine_idling,jackhammer,dog_bark,engine_idling
URBAN-SED/audio/train/soundscape_train_bimodal1071.wav	street_music,siren
URBAN-SED/audio/train/soundscape_train_bimodal1072.wav	drilling,car_horn,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal1073.wav	street_music,car_horn,jackhammer,gun_shot,engine_idling
URBAN-SED/audio/train/soundscape_train_bimodal1074.wav	drilling,jackhammer,gun_shot,drilling,street_music,car_horn
URBAN-SED/audio/train/soundscape_train_bimodal1075.wav	children_playing,dog_bark,air_conditioner,air_conditioner,children_playing,drilling,car_horn
URBAN-SED/audio/train/soundscape_train_bimodal1076.wav	siren,car_horn,street_music,siren,engine_idling,drilling
URBAN-SED/audio/train/soundscape_train_bimodal1077.wav	drilling,car_horn,jackhammer,drilling,gun_shot,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal1078.wav	jackhammer,drilling,siren,gun_shot,engine_idling
URBAN-SED/audio/train/soundscape_train_bimodal1079.wav	car_horn,dog_bark,siren,dog_bark,jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal108.wav	air_conditioner,drilling
URBAN-SED/audio/train/soundscape_train_bimodal1080.wav	air_conditioner,car_horn,air_conditioner,children_playing
URBAN-SED/audio/train/soundscape_train_bimodal1081.wav	children_playing,street_music,jackhammer,dog_bark,street_music,dog_bark,siren,siren,children_playing
URBAN-SED/audio/train/soundscape_train_bimodal1082.wav	air_conditioner,drilling
URBAN-SED/audio/train/soundscape_train_bimodal1083.wav	siren,children_playing,engine_idling,street_music,air_conditioner,car_horn,drilling
URBAN-SED/audio/train/soundscape_train_bimodal1084.wav	children_playing,drilling,street_music
URBAN-SED/audio/train/soundscape_train_bimodal1085.wav	dog_bark,drilling,gun_shot,car_horn,siren,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1086.wav	children_playing,dog_bark,children_playing,car_horn,siren,engine_idling
URBAN-SED/audio/train/soundscape_train_bimodal1087.wav	engine_idling,children_playing,drilling,air_conditioner,children_playing
URBAN-SED/audio/train/soundscape_train_bimodal1088.wav	drilling,drilling,drilling,street_music
URBAN-SED/audio/train/soundscape_train_bimodal1089.wav	children_playing,car_horn,gun_shot,engine_idling,air_conditioner,children_playing,engine_idling,drilling,drilling
URBAN-SED/audio/train/soundscape_train_bimodal109.wav	street_music,street_music,drilling,street_music,children_playing,dog_bark,air_conditioner,car_horn,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal1090.wav	air_conditioner,car_horn,air_conditioner,engine_idling
URBAN-SED/audio/train/soundscape_train_bimodal1091.wav	engine_idling,gun_shot,children_playing,air_conditioner,car_horn,car_horn,siren,dog_bark,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal1092.wav	gun_shot,air_conditioner,jackhammer,car_horn,car_horn
URBAN-SED/audio/train/soundscape_train_bimodal1093.wav	dog_bark,street_music,street_music,drilling,siren,jackhammer,air_conditioner,children_playing,siren
URBAN-SED/audio/train/soundscape_train_bimodal1094.wav	engine_idling,jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal1095.wav	jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal1096.wav	children_playing
URBAN-SED/audio/train/soundscape_train_bimodal1097.wav	jackhammer,street_music,street_music,siren,dog_bark,children_playing
URBAN-SED/audio/train/soundscape_train_bimodal1098.wav	siren,siren,dog_bark,car_horn,car_horn,street_music
URBAN-SED/audio/train/soundscape_train_bimodal1099.wav	gun_shot,street_music,street_music
URBAN-SED/audio/train/soundscape_train_bimodal11.wav	dog_bark,car_horn,engine_idling,gun_shot,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal110.wav	siren,air_conditioner,siren,drilling,car_horn,air_conditioner
URBAN-SED/audio/train/soundscape_train_bimodal1100.wav	engine_idling,engine_idling,siren
URBAN-SED/audio/train/soundscape_train_bimodal1101.wav	dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal1102.wav	siren,car_horn,dog_bark,children_playing,siren,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1103.wav	dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal1104.wav	jackhammer,street_music,jackhammer,dog_bark,gun_shot,air_conditioner,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1105.wav	car_horn,car_horn,street_music,drilling,car_horn
URBAN-SED/audio/train/soundscape_train_bimodal1106.wav	jackhammer,air_conditioner,drilling,siren,dog_bark,gun_shot,car_horn,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal1107.wav	jackhammer,children_playing,drilling,car_horn,drilling,drilling,siren,children_playing
URBAN-SED/audio/train/soundscape_train_bimodal1108.wav	car_horn,air_conditioner,street_music,children_playing
URBAN-SED/audio/train/soundscape_train_bimodal1109.wav	drilling,car_horn
URBAN-SED/audio/train/soundscape_train_bimodal111.wav	jackhammer,children_playing,dog_bark,engine_idling,car_horn,air_conditioner,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1110.wav	car_horn,street_music,drilling
URBAN-SED/audio/train/soundscape_train_bimodal1111.wav	dog_bark,jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal1112.wav	engine_idling,air_conditioner,jackhammer,gun_shot,jackhammer,jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal1113.wav	children_playing,children_playing,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1114.wav	engine_idling,engine_idling
URBAN-SED/audio/train/soundscape_train_bimodal1115.wav	street_music
URBAN-SED/audio/train/soundscape_train_bimodal1116.wav	street_music,jackhammer,dog_bark,gun_shot,children_playing,car_horn
URBAN-SED/audio/train/soundscape_train_bimodal1117.wav	air_conditioner,street_music,street_music,siren,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1118.wav	drilling,engine_idling,children_playing,engine_idling,drilling,drilling
URBAN-SED/audio/train/soundscape_train_bimodal1119.wav	engine_idling,children_playing,street_music,engine_idling,drilling,dog_bark
URBAN-SED/audio/train/soundscape_train_bimodal112.wav	jackhammer,dog_bark,engine_idling,street_music,car_horn
URBAN-SED/audio/train/soundscape_train_bimodal1120.wav	gun_shot,drilling,children_playing,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1121.wav	gun_shot,dog_bark,dog_bark,air_conditioner,jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal1122.wav	drilling,jackhammer,jackhammer,street_music,siren,air_conditioner
URBAN-SED/audio/train/soundscape_train_bimodal1123.wav	air_conditioner,dog_bark,engine_idling,jackhammer,children_playing
URBAN-SED/audio/train/soundscape_train_bimodal1124.wav	siren,siren,children_playing,street_music,siren,children_playing
URBAN-SED/audio/train/soundscape_train_bimodal1125.wav	street_music
URBAN-SED/audio/train/soundscape_train_bimodal1126.wav	air_conditioner,air_conditioner,siren,siren,siren
URBAN-SED/audio/train/soundscape_train_bimodal1127.wav	drilling,engine_idling,gun_shot,street_music,air_conditioner,street_music,jackhammer,gun_shot
URBAN-SED/audio/train/soundscape_train_bimodal1128.wav	car_horn,children_playing
URBAN-SED/audio/train/soundscape_train_bimodal1129.wav	siren,drilling,air_conditioner,jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal113.wav	car_horn
URBAN-SED/audio/train/soundscape_train_bimodal1130.wav	air_conditioner,siren,car_horn,dog_bark,siren
URBAN-SED/audio/train/soundscape_train_bimodal1131.wav	siren,drilling,engine_idling,gun_shot,car_horn,gun_shot,street_music
URBAN-SED/audio/train/soundscape_train_bimodal1132.wav	children_playing,gun_shot,air_conditioner
URBAN-SED/audio/train/soundscape_train_bimodal1133.wav	gun_shot,car_horn,jackhammer
URBAN-SED/audio/train/soundscape_train_bimodal1134.wav	dog_bark,street_music,dog_bark,jackhammer,gun_shot,air_conditioner,gun_shot,engine_idling,drilling
